A&A	Astronomy and Astrophysics
IPEPA	IEE Proceedings B: Electric Power Applications
IPETS	IEEE Power and Energy Technology Systems Journal
IPEWT	IEEE Press Series on Electromagnetic Wave Theory
IPElT	IEEE Press Series on Electronics Technology
IPGTD	IEE Proceedings C: Generation Transmission Distribution
IPM	Information Processing and Management
IPMAP	IEE Proceedings H: Microwaves Antennas and Propagation
IPMOA	IEE Proceedings H: Microwaves Optics and Antennas
IPMS	IEEE Press Series on Microelectronic Systems
IPNPR	Interplanetary Network Progress Report
IPOpt	IEE Proceedings J: Optoelectronics
IPPE	IEEE Press Series on Power Engineering
IPPSM	IEE Proceedings: Physical Science Measurement and Instrumentation Management and Education Reviews
IPRSP	IEE Proceedings F: Radar and Signal Processing
IPSSE	IEE Proceedings: Solid-State Electron Devices
IPTHS	IEEE Press Telecommunications Handbook Series
IPTL	IEEE Photonics Technology Letters
IPhoJ	IEEE Photonics Journal
IRA	Infrared Astronomy
IRETE	IRE Transactions on Education
IREdu	International Review of Education
IRH	International Review of Hydrobiology
IRMBP	Institut Royal Meteorologique de Belgique Publications Serie
IRNvP	International Review of Nuclear Physics
IRPC	International Reviews in Physical Chemistry
IS&T	Instrumentation Science &amp; Technology
ISAP	ISA Proceedings
ISASS	Institute of Space and Astronautical Science Report
ISAT	ISA Transactions
ISBRv	International Space Business Review
ISCJS	ISRO Satellite Centre Journal of Spacecraft Technology
ISKZ	Issledovaniya Solntsa i Krasnykh Zvezd
ISNL	Information Systems Newsletter
ISPAn	ISPRS Annals of Photogrammetry, Remote Sensing and Spatial Information Sciences
ISPAr	ISPRS - International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences
ISPL	IEEE Signal Processing Letters
ISPM	IEEE Signal Processing Magazine
ISRAA	ISRN Astronomy and Astrophysics
ISRv	Interdisciplinary Science Reviews
ISSIR	ISSI Scientific Reports Series
ISSIS	ISSI Space Sciences Series
IST	Issues in Science and Technology
ISTP	ICTP Series in Theoretical Physics
ISTSP	IEEE Journal of Selected Topics in Signal Processing
ISWCR	International Soil and Water Conservation Research
ISenJ	IEEE Sensors Journal
ISysJ	IEEE Systems Journal
ITAB	Institut Teoreticheskoi Astronomii Byulleten
ITABO	Institute of Theoretical Astrophysics, Blindern-Oslo
ITAC	IEEE Transactions on Automatic Control
ITAES	IEEE Transactions on Aerospace Electronic Systems
ITANE	IEEE Transactions on Aerospace and Navigational Electronics
ITAP	IEEE Transactions on Antennas and Propagation
ITAS	IEEE Transactions on Applied Superconductivity
ITASS	IEEE Transactions on Acoustics Speech and Signal Processing
ITAer	IEEE Transactions on Aerospace
ITB	IEEE Transactions on Broadcasting
ITBE	IEEE Transactions on Biomedical Engineering
ITCAD	IEEE Transactions on Computer Aided Design
ITCHM	IEEE Transactions on Components Hybrids and Manufacturing Technology
ITCJ	ITC Journal
ITCS	IEEE Transactions on Circuits Systems
ITCmp	IEEE Transactions on Computers
ITCom	IEEE Transactions on Communications
ITDEI	IEEE Transactions On Dielectrics And Electrical Insulation
ITED	IEEE Transactions on Electron Devices
ITEI	IEEE Transactions on Electrical Insulation
ITEIS	IEEJ Transactions on Electronics, Information and Systems
ITEM	IEEE Transactions on Engineering Management
ITEdu	IEEE Transactions on Education
ITElC	IEEE Transactions on Electromagnetic Compatibility
ITEnC	IEEE Transactions on Energy Conversion
ITGE	IEEE Transactions on Geoscience Electronics
ITGRS	IEEE Transactions on Geoscience and Remote Sensing
ITIA	IEEE Transactions on Industry Applications
ITIE	IEEE Transactions on Industrial Electronics
ITIEC	IEEE Transactions on Industrial Electronics and Control Instrumentation
ITIM	IEEE Transactions on Instrumentation Measurement
ITIP	IEEE Transactions on Image Processing
ITIT	IEEE Transactions on Information Theory
ITJSE	Indian Institute of Technology Journal on Section Engineering Technology
ITM	IEEE Transactions on Magnetics
ITME	IEEE Transactions on Military Electronics
ITMI	IEEE Transactions On Medical Imaging
ITMTT	IEEE Transactions on Microwave Theory Techniques
ITN	IERS Technical Note
ITNN	IEEE Transactions on Neural Networks
ITNS	IEEE Transactions on Nuclear Science
ITNan	IEEE Transactions on Nanotechnology
ITPA	Interscience Tracts on Physics and Astronomy
ITPAM	IEEE Transactions on Pattern Analysis and Machine Intelligence
ITPAS	IEEE Transactions on Power Apparatus Systems
ITPD	IEEE Transactions On Power Delivery
ITPE	IEEE Transactions on Power Electronics
ITPHP	IEEE Transactions on Parts Hybrids and Packaging
ITPS	IEEE Transactions on Plasma Science
ITPSy	IEEE Transactions on Power Systems
ITR	IEEE Transactions on Reliability
ITRA	IEEE Transactions on Robotics Automation
ITRFI	IEEE Transactions on Radio Frequency Interference
ITSE	IEEE Transactions on Sustainable Energy
ITSET	IEEE Transactions on Space Electronics and Telemetry
ITSF	Integral Transforms and Special Functions
ITSM	IEEE Transactions Semiconduct M
ITSMC	IEEE Transactions on Systems Man and Cybernetics
ITSP	IEEE Transactions on Signal Processing
ITSU	IEEE Transactions on Sonics Ultrasonics
ITTST	IEEE Transactions on Terahertz Science and Technology
ITUFF	IEEE Transactions on Ultrasonics Ferroelectrics and Frequency Control
ITUTJ	ITU Telecommunication Journal
ITVT	IEEE Transactions on Vehicular Technology
IUEEN	IUE ESA Newsletter
IUENN	IUE NASA Newsletter
IUGG	International Union of Geodesy and Geophysics General Assembly
IUMJ	Indiana University Mathematics Journal
IWSci	In the World of Science
IadEn	Iadernaia Energiia
Icar	Icarus
IllOB	Bulletin of the Astronomical Observatory of the University of Illinois
ImMun	Imago Mundi: The International Journal for the History of Cartography
ImRv	Immunological Reviews
InASP	Indian Academy of Sciences Proceedings Section
InAgr	International Agrophysics
InCh	Inorganic Chemistry
InCo	Information and Computation
InEPS	Indian Academy of Sciences Proceedings: Earth and Planetary Sciences
InES	Indian Academy of Sciences Proceedings: Section C Engineering Sciences
InFer	Integrated Ferroelectrics
InFiZ	Inzhenerno Fizicheskii Zhurnal
InFuJ	Institute Fuel Journal
InGeo	International Geophysics Series
InISA	Indian Institute of Science Journal of Aeronautical Society of India
InISJ	Indian Institute of Science Journal
InJAE	Indian Journal of Aerospace Engineering Division
InJET	Indian Journal of Electronics Telecommunication Engineering Division
InJHS	Indian Journal of the History of Science
InJME	Indian Journal of Mechanical Engineering Division
InJP	Indian Journal of Physics and Proceedings of the Indian Assocatiation for the Cultivation of Science
InJPA	Indian Journal of Physics Section A
InJPB	Indian Journal of Physics Section B
InJPh	Indian Journal of Physics
InJTP	Indian Journal of Theoretical Physics
InLoP	Instytut Lotnictwa Prace
InMPP	Instytut Maszyn Przeplywowych Prace
InMS	Indian Academy of Sciences Proceedings Mathematical Sciences
InMat	Inventiones Mathematicae
InPhT	Infrared Physics and Technology
InfCo	Information Control
InfD	Information Display
InfPh	Infrared Physics
IngAr	Ingenieur Archiv
Ingeg	Ingegneria
IntSM	Interavia Space Markets
IntaC	Inta Conie
Inter	Interavia
InvPr	Inverse Problems
IonIs	Ionosfernye Issledovaniia
Iono	Ionosphere
Ippa	Ipparchos
IrAJ	Irish Astronomical Journal
IrAJS	Irish Astronomical Journal Supplement
IrJST	Iranian Journal of Science Technology
IsJAP	Istanbul University Faculty of Science Journal of Astronomy Physics
IsJT	Israel Journal of Technology
IsMTD	Issledovaniia Mekhanike i Teploobmenu Dvukhfaznykh Sred
IsRvC	Istanbul University Faculty Science Review Serie C
IsSRT	Israel Space Research and Technology Information Bulletin
Isis	Isis. Journal of the History of Science Society
IssUP	Issledovaniia Uprugosti i Plastichnosti
IssZK	Issledovanie Zemli Fiz Kosmosa
IzAOP	Izvestiya Atmospheric and Oceanic Physics
IzAlm	Izvestiya Astrofizicheskogo Instituta Alma-Ata
IzArm	Izvestiya Akademiya Nauk Armyanskoi
IzAsh	Izvestiya Akademii Nauk Turkmenskoj SSR Ashkhabad
IzAvT	Izvestiya VUZ Aviatsionnaya Tekhnika
IzAze	Akademiia Nauk Azerbaidzhanskoi SSR Izvestiia Seriia Fiziko Tekhnicheskikh i Matematicheskikh Nauk
IzDus	Dushanbe Izdatel Donish
IzET	Izvestiia Energetika i Transport
IzEhn	Izvestiya Astronomicheskoj Engel'gardt obskoj Observatorii Kazan
IzFZ	Akademiia Nauk SSSR, Izvestiia, Fizika Zemli
IzFru	Frunze Izdatel Ilim
IzGeo	Tbilisi Georgian SSR Izdatel Metsniereba
IzGla	Izvestiia Glavnoi rossiiskoi astronomicheskoi observatorii
IzKie	Izvestiya Glavnoj Astronomicheskoj Observatorii Kiev
IzKry	Izvestiya Ordena Trudovogo Krasnogo Znameni Krymskoj Astrofizicheskoj Observatorii
IzLat	Akademiia Nauk Latviiskoi SSR Izvestiia Seriia Fizicheskikh i Tekhnicheskikh Nauk
IzLen	Leningrad, Izdatel'stvo Nauka
IzMZG	Akademiia Nauk SSSR Izvestiia Mekhanika Zhidkosti i Gaza
IzMat	Izvestiya: Mathematics
IzMin	Minsk Izdatel BGU
IzMol	Akademiia Nauk Moldavskoi SSR Izvestiia Seriia Fiziko Tekhnicheskikh i Matematicheskikh Nauk
IzOde	Odesskij Gosudarstvennyi Universitet im. I. I. Mechnikova Izvestiya Astronomicheskoj Observatorii
IzPSE	Izvestiya Physics of the Solid Earth
IzPul	Izvestiya Glavnoj Astronomicheskoj Observatorii v Pulkove
IzRad	Izvestiya VUZ Radiofizika
IzSF	Izvestiia Akademii Nauk Seriya Fizicheskaya
IzSSR	Akademiia Nauk SSSR Izvestiia Seriia Fizicheskaia
IzSib	Akademiia Nauk SSSR Sibirskoe Otdelenie Izvestiia
IzTad	Izvestiia Akademiia Nauk TadzhSSR
IzTas	Tashkent Izdatel Fan
IzTif	Tiflis Izdatel Tbilisskogo Universiteta
IzTur	Akademiia Nauk Turkmenskoi SSR Izvestiia Seriia Fiziko Tekhnicheskikh Khimicheskikh i Geologicheskikh Nauk
IzUkr	Akademiia Nauk Ukrainian SSSR Izvestiia Seriia Fizicheskaia
IzUzb	Akademiia Nauk Uzbekskoi SSR Izvestiia Seriia Fiziko Matematicheskikh Nauk
IzVF	Izvestiya Vysshikh Uchebnykh Zavedenij. Fizika
IzVGA	Izvestiia vuzov. Geodeziia Aehrofotosemka
IzVUZ	Izvestiia Vysshaia Uchebn. Zaved., Radiofizika
IzVil	Vilnius Izdatel Mokslas
IzYak	Vsesoiuznaia Konferentsiia Kosmicheskim Lucham Yakutsk USSR Akademiia Nauk SSSR Izvestiia Seriia Fizicheskaia
IzYer	Vsesoiuznaia Konferentsiia Kosmicheskim Lucham Yerevan Armenian SSR Aademiia Nauk SSSR Izvestiia Seriia Fizicheskaia
JAAS	Journal of Analytical Atomic Spectrometry
JACS	Journal of American Ceramic Society
JAChS	Journal of the American Chemical Society
JAD	Journal of Astronomical Data
JAE	Journal of Acoustic Emission
JAER	Journal of Agricultural Engineering Research
JAES	Journal of Audio Engineering Society
JAESE	Journal of Astronomy &amp; Earth Sciences Education
JAESX	Journal of Asian Earth Sciences: X
JAESc	Journal of Asian Earth Sciences
JAF	Journal des Astronomes Francais
JAG	Journal of Applied Geophysics
JAGI	Journal of Artificial General Intelligence
JAGeo	Journal of Applied Geodesy
JAHH	Journal of Astronomical History and Heritage
JAI	Journal of Astronomical Instrumentation
JALPO	Journal of the Association of Lunar and Planetary Observers, the Strolling Astronomer
JAM	Journal of Applied Mechanics
JAMDS	Journal of Advanced Mechanical Design, Systems, and Manufacturing
JAMES	Journal of Advances in Modeling Earth Systems
JAMOP	Journal of Atomic, Molecular and Optical Physics
JAMS	Journal of the American Mathematical Society
JAMTP	Journal of Applied Mechanics and Technical Physics
JAP	Journal of Applied Physics
JAPE	Journal of Applied Photographic Engineering
JAPh	Journal of Applied Physiology
JARS	Journal of Applied Remote Sensing
JAS	The Journal of Agricultural Science
JASAC	Japan Astronomical Study Association Circulars
JASCE	Journal of the American Society of Civil Engineers
JASE	Journal of Applied Science and Engineering Section on Electrical Power and Information Systems
JASEg	Journal of the Astronomical Society of Egypt
JASIS	Journal of the American Society for Information Science and Technology
JASJa	Journal of the Acoustical Society of Japan
JASMS	Journal of The American Society for Mass Spectrometry
JASS	Journal of Astronomy and Space Sciences
JASSA	Journal of the Astronomical Society of Southern Africa
JASTP	Journal of Atmospheric and Solar-Terrestrial Physics
JASV	Journal of the Astronomical Society of Victoria Melbourne
JASWA	Journal of the Astronomical Society of Western Australia
JATIS	Journal of Astronomical Telescopes, Instruments, and Systems
JATP	Journal of Atmospheric and Terrestrial Physics
JATSo	Journal of the Antique Telescope Society
JAVSO	Journal of the American Association of Variable Star Observers (JAAVSO)
JAWRA	Journal of the American Water Resources Association
JAco	Journal d'Acoustique
JAdD	Journal of Advanced Dielectrics
JAdR	Journal of Advanced Research
JAerE	Journal of Aerospace Engineering
JAerP	Journal of Aerospace Power
JAerS	Journal of Aerosol Science
JAfES	Journal of African Earth Sciences
JAir	Journal of Aircraft
JAlg	Journal of Algebra
JAlgC	Journal of Algebraic Combinatorics
JAlgo	Journal of Algorithms
JAllC	Journal of Alloys and Compounds
JAnSc	Journal of the Astronautical Sciences
JApA	Journal of Astrophysics and Astronomy
JApAS	Journal of Astrophysics and Astronomy Supplement
JApCr	Journal of Applied Crystallography
JApEl	Journal of Applied Electrochemistry
JApMC	Journal of Applied Meteorology and Climatology
JApMM	Journal of Applied Mathematics and Mechanics
JApMa	IMA Journal of Applied Mathematics
JApMe	Journal of Applied Meteorology
JApMw	Journal of Applied Metalworking
JApS	Journal of Applied Statistics
JApSc	Journal of Applied Sciences
JApSp	Journal of Applied Spectroscopy
JApT	Journal of Approximation Theory
JArEn	Journal of Arid Environments
JAsGe	NRIAG Journal of Astronomy and Geophysics
JAsPh	Journal of Astronomy and Physics (Turkey)
JAtC	Journal of Atmospheric Chemistry
JAtOT	Journal of Atmospheric and Oceanic Technology
JAtS	Journal of the Atmospheric Sciences
JAuGG	Journal of Australian Geology and Geophysics
JAuR	Journal of Automated Reasoning
JBAA	Journal of the British Astronomical Association
JBAS	Journal of the British Astronomical Society
JBASP	Jodrell Bank Ann Ser Pt
JBB	Journal of Bioenergetics and Biomembranes
JBH	Journal of Big History
JBIS	Journal of the British Interplanetary Society
JBNMR	Journal of Biomolecular NMR
JBO	Journal of Biomedical Optics
JBP	Journal of Biological Physics
JBR	Journal of Breath Research
JBall	Journal of Ballistics
JBiom	Journal of Biomechanics
JBiop	Journal of Biophysics
JCA	Journal of Computational Acoustics
JCAM	Journal of Climate and Applied Meteorology
JCAMD	Journal of Computer-Aided Molecular Design
JCAP	Journal of Cosmology and Astroparticle Physics
JCBC	Journal of Computational Biophysics and Chemistry
JCExp	Journal of Geochemical Exploration
JCHyd	Journal of Contaminant Hydrology
JCIS	Journal of Colloid and Interface Science
JCM	Journal of Computational Mathematics
JCMD	Journal of Computer-Aided Materials Design
JCMSI	SICE Journal of Control, Measurement, and System Integration
JCP	Journal de Chimie Physique
JCPX	Journal of Computational Physics: X
JCS	Journal of Cluster Science
JCSC	Journal of Circuits, Systems and Computers
JCSS	Journal of the Chinese Silicate Society
JCST	Journal of Computational Science and Technology
JCSTe	Journal of College Science Teaching
JCTA	Journal of Combinatorial Theory, Series A
JCTB	Journal of Combinatorial Theory, Series B
JCTR	Journal of Composites and Technology Research
JCUG	Journal of China University of Geosciences
JCUMT	Journal of China University of Mining and Technology
JCat	Journal of Catalysis
JChA	Journal of Chromatography A
JChEd	Journal of Chemical Education
JChPh	Journal of Chemical Physics
JChS	Journal of Chromatographic Science
JChTh	Journal of Chemical Thermodynamics
JClP	Journal of Clinical Pharmacology
JClR	Journal of Climate Research
JCli	Journal of Climate
JClim	Journal of Climatology
JCoAM	Journal of Computational and Applied Mathematics
JCoB	Journal of Computational Biology
JCoCh	Journal of Computational Chemistry
JCoMa	Journal of Composite Materials
JCoN	Journal of Computational Neuroscience
